player,team,pos,rank,value,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov
Sion James,CHA,SF/SG,248,15.034,73.0,21.3,0.3947,4.57,0.8347,1.23,1.0,5.63,3.43,1.96,0.62,0.25,0.78
Isaac Okoro,CHI,SF/SG,236,17.459,61.9,24.3,0.4713,6.57,0.7723,1.57,1.13,8.53,2.75,1.58,0.7,0.42,0.67
Jordan Goodwin,PHX,SF/SG,241,16.094,66.7,16.1,0.418,5.54,0.727,0.64,1.05,6.15,3.47,1.59,1.0,0.19,0.73
Josh Dix,OKC,PG/SG,224,18.02,59.2,18.0,0.4702,6.66,0.7821,1.7,1.0,8.59,3.28,1.99,0.62,0.36,1.02
Jaylin Williams,OKC,C,234,17.473,60.9,16.1,0.439,4.54,0.7949,1.06,1.21,6.03,4.59,2.1,0.43,0.53,0.79
Bennett Stirtz,OKC,PG/SG,231,17.575,59.0,17.6,0.4702,6.5,0.7821,1.66,0.97,8.38,3.2,1.94,0.6,0.36,0.99
Cormac Ryan,MIL,PG/SG,233,17.526,57.4,17.9,0.5033,6.7,0.8701,1.74,1.49,9.75,2.4,1.54,0.69,0.26,1.08
Max Strus,LAC,PF/SF,229,17.621,45.5,20.0,0.4379,6.5,0.7956,0.78,1.72,8.03,3.54,2.29,0.44,0.19,0.88
Alex Caruso,OKC,PF/SF,238,16.813,59.6,17.4,0.4365,5.18,0.7964,0.91,0.97,6.22,2.62,2.01,1.19,0.4,0.8
Goga Bitadze,ORL,C,247,15.101,65.2,13.1,0.6241,3.21,0.6897,1.26,0.09,4.96,4.12,1.21,0.47,0.82,0.62
Taurean Prince,DET,PF/SF,235,17.469,55.6,24.0,0.45,6.56,0.806,0.61,1.8,8.2,3.15,1.74,0.75,0.25,1.02
Jay Huff,IND,C,249,13.67,69.4,12.3,0.4823,4.47,0.8146,0.77,0.91,5.86,2.27,0.86,0.3,1.0,0.56
Dylan Cardwell,SAC,C/PF,239,16.754,54.0,15.3,0.5649,3.44,0.5835,0.96,0.16,4.62,5.26,1.17,0.52,1.02,0.68
Bogdan Bogdanović,HOU,PG/SF/SG,223,18.213,49.6,21.2,0.4164,8.05,0.8529,1.25,1.66,9.43,2.64,2.27,0.64,0.2,1.16
Grant Williams,CHA,PF,216,18.997,46.0,22.4,0.4444,6.19,0.8033,1.7,1.46,8.32,4.07,1.86,0.59,0.53,1.1
Dru Smith,MIA,PG/SG,244,15.614,55.9,15.2,0.4307,4.39,0.8202,1.33,0.59,5.45,2.32,2.2,1.22,0.29,0.77
Robert Williams,POR,C,245,15.277,53.8,12.3,0.6588,3.18,0.6649,0.74,0.17,4.85,4.57,0.8,0.43,0.97,0.61
Matisse Thybulle,LAL,SF/SG,246,15.107,44.0,15.5,0.4402,4.3,0.7621,0.78,1.03,5.41,2.02,1.09,1.48,0.47,0.74
