player,team,pos,rank,value,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov
Zach LaVine,SAC,SF/SG,98,30.906,58.0,32.0,0.4895,14.48,0.8475,3.57,2.67,19.87,3.56,3.13,0.74,0.23,2.23
Andrew Nembhard,IND,PG/SG,113,28.837,62.1,29.2,0.4555,10.77,0.8181,3.03,1.41,13.69,2.99,6.17,0.99,0.17,2.0
Maxime Raynaud,SAC,C,147,25.722,69.0,25.9,0.5722,8.91,0.7921,2.26,0.41,12.4,7.26,1.47,0.54,0.52,1.23
Wendell Carter,ORL,C,149,25.631,69.0,27.3,0.4997,7.77,0.7744,2.88,0.85,10.84,7.04,1.96,0.75,0.6,1.21
Devin Vassell,SAS,SF/SG,130,27.244,64.9,29.2,0.4486,11.72,0.8077,1.96,2.32,14.42,3.86,2.66,0.96,0.4,1.06
Coby White,CHA,PG/SG,48,37.685,61.7,29.6,0.4541,17.16,0.849,5.41,3.2,23.37,4.02,5.03,0.75,0.2,2.53
P.J. Washington,DAL,C/PF/SF,108,29.222,60.2,29.6,0.4502,11.02,0.7021,2.98,1.42,13.44,6.62,1.91,0.97,0.96,1.66
Draymond Green,GSW,C/PF,136,26.631,66.0,27.4,0.4211,7.29,0.6982,1.54,1.31,8.53,5.6,5.28,1.03,0.73,2.55
Jalen Green,PHX,SF/SG,101,30.329,57.8,27.9,0.4324,15.18,0.7975,3.34,2.36,18.15,4.14,3.05,0.88,0.3,2.12
Ausar Thompson,DET,SF/SG,135,26.701,65.7,23.9,0.5297,7.52,0.614,2.39,0.19,9.63,5.46,2.71,1.73,0.83,1.36
Jalen Suggs,ORL,PG,95,31.225,56.1,27.2,0.4409,11.29,0.8475,2.28,2.08,13.97,3.84,4.59,1.65,0.72,2.45
Paul George,BOS,PF/SF/SG,62,35.738,51.3,31.5,0.4364,14.68,0.8305,3.04,2.67,18.01,5.3,3.75,1.67,0.47,2.07
Collin Sexton,LAL,PG/SG,132,26.812,65.0,24.9,0.4852,11.68,0.8567,3.8,1.64,16.24,2.54,3.63,0.96,0.16,2.13
Jrue Holiday,POR,PG/SG,111,28.939,60.2,29.2,0.444,11.25,0.8445,1.63,2.09,13.46,4.44,4.86,0.97,0.3,2.1
Paul Reed,DET,C/PF,172,23.517,70,17.5,0.5765,6.46,0.6946,1.92,0.34,9.12,5.48,1.65,1.06,1.0,1.06
Mark Williams,PHX,C,116,28.606,58.8,23.2,0.6254,7.92,0.7848,3.01,0.11,12.38,7.91,1.44,0.85,0.95,1.17
Caleb Wilson,CHI,PF/SF,117,28.543,60.6,28.6,0.4702,10.56,0.7821,2.7,1.58,13.63,5.2,3.16,0.98,0.58,1.61
Quentin Grimes,LAL,SG,159,24.997,69.2,27.3,0.4571,9.86,0.8138,2.84,1.79,13.11,3.74,3.0,0.87,0.34,1.66
Day'Ron Sharpe,BKN,C,153,25.396,68,22.0,0.5733,6.05,0.6986,2.19,0.24,8.71,7.78,2.19,1.12,0.67,1.51
Isaiah Hartenstein,OKC,C,103,29.975,57.4,25.1,0.5948,6.85,0.6538,2.14,0.1,9.64,9.19,3.38,0.95,0.88,1.61
