player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,rank,adp,ht_total
Cameron Johnson,DEN,SF/PF,60,30.8,0.477,11.0,0.875,3.0,2.4,15.6,4.1,2.9,0.8,0.4,1.3,97,139.5,1.76
Coby White,CHA,PG/SG,72,31.0,0.451,14.3,0.864,4.5,2.7,19.5,3.6,4.3,0.8,0.2,2.5,98,64.0,1.74
Myles Turner,MIL,C,70,27.4,0.463,9.9,0.758,2.8,2.1,13.3,5.8,1.5,0.7,1.8,1.4,99,76.5,1.70
Norman Powell,CHI,SG/SF,65,29.6,0.477,15.0,0.816,4.7,2.7,20.9,3.2,2.2,1.1,0.2,1.8,100,101.0,1.63
Neemias Queta,BOS,C,75,25.9,0.653,6.6,0.719,2.2,0.0,10.2,8.2,1.6,0.7,1.3,1.1,101,136.7,1.53
Paolo Banchero,ORL,SF/PF,73,35.2,0.456,18.0,0.756,8.5,1.5,24.3,8.3,5.2,0.8,0.6,3.1,102,36.7,1.51
Mikal Bridges,NY,SG/SF,80,32.5,0.496,12.3,0.815,1.2,1.8,15.0,3.3,3.5,1.0,0.6,1.2,103,68.6,1.31
Cason Wallace,OKC,PG/SG,78,30.4,0.451,8.4,0.817,0.8,1.4,9.6,3.7,2.9,2.1,0.5,1.0,104,136.9,1.29
Sandro Mamukelashvili,LAL,PF/C,74,25.8,0.517,9.8,0.749,2.3,1.9,13.7,6.2,2.1,0.9,0.6,1.0,105,139.9,1.22
Miles Bridges,PHO,SF/PF,72,30.1,0.445,14.7,0.845,3.5,2.0,18.0,6.4,3.4,0.6,0.5,1.7,106,75.2,1.19
Dylan Harper,SA,PG/SG,72,29.5,0.504,12.6,0.754,2.3,1.2,15.6,4.5,5.1,1.0,0.5,1.9,107,99.2,1.17
Collin Murray-Boyles,TOR,PF,68,28.0,0.579,7.8,0.657,2.5,0.4,11.0,6.5,2.4,1.2,1.2,1.3,108,139.5,1.06
Alexandre Sarr,WAS,PF/C,68,28.8,0.433,13.8,0.686,2.9,1.5,15.4,7.4,2.7,0.8,1.8,1.8,109,92.9,0.98
Christian Braun,DEN,SG/SF,72,31.8,0.560,9.5,0.815,2.5,1.0,13.8,4.9,2.6,0.9,0.4,1.0,110,99.7,0.95
Tre Jones,CHI,PG,68,25.9,0.549,8.4,0.837,2.9,0.6,12.3,3.2,5.3,1.1,0.2,1.3,111,140.2,0.95
Brandin Podziemski,GS,PG/SG,78,31.0,0.451,11.6,0.785,2.6,2.1,14.5,5.8,4.1,1.2,0.2,1.6,112,137.2,0.94
De'Andre Hunter,SAC,SF/PF,65,31.5,0.448,13.8,0.855,4.3,2.5,18.6,4.8,2.0,0.9,0.2,1.7,113,139.8,0.92
Jabari Smith Jr.,HOU,PF/C,75,35.2,0.446,12.4,0.796,2.7,2.2,15.4,7.5,1.6,0.7,0.9,1.3,114,127.6,0.86
Caleb Wilson,CHI,SF,72,30.4,0.491,10.5,0.720,5.5,1.0,15.2,8.0,2.0,1.2,1.0,1.8,115,117.3,0.81
Mitchell Robinson,BOS,C,65,22.8,0.709,4.1,0.448,1.9,0.0,6.7,9.8,1.0,1.1,1.4,0.8,116,138.8,0.79
Cedric Coward,MEM,SG/SF,70,28.8,0.450,13.3,0.844,3.0,1.8,16.3,6.6,3.1,0.7,0.5,1.9,117,139.6,0.78
Jaylen Brown,PHI,SG/SF,70,33.1,0.471,17.5,0.768,5.7,1.7,22.6,5.7,3.4,1.0,0.3,2.8,118,17.4,0.59
Reed Sheppard,HOU,PG/SG,74,25.8,0.415,11.0,0.800,1.0,2.6,12.5,2.9,3.3,1.5,0.7,1.5,119,103.1,0.57
Paul Reed,DET,PF/C,69,17.9,0.585,6.5,0.693,2.1,0.3,9.3,5.6,1.7,1.3,1.2,1.1,120,140.1,0.54
Kevin Porter Jr.,MIL,PG/SG,60,24.4,0.456,10.5,0.822,2.9,0.9,12.9,4.3,4.8,1.5,0.3,2.2,121,94.9,0.49
Quentin Grimes,LAL,SG/SF,74,30.8,0.459,11.6,0.799,3.3,2.1,15.5,4.4,3.5,1.0,0.4,2.0,122,138.7,0.46
Draymond Green,GS,PF/C,68,28.8,0.421,7.6,0.695,1.7,1.4,8.9,6.0,5.7,1.2,0.9,2.7,123,119.5,0.41
Nicolas Claxton,CHI,C,70,28.4,0.568,8.7,0.574,2.9,0.1,11.6,7.5,3.1,0.8,1.3,1.4,124,119.4,0.36
Toumani Camara,POR,SF/PF,80,33.1,0.448,10.2,0.713,1.7,2.2,12.6,5.5,2.4,1.3,0.5,1.6,125,129.6,0.35
