player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,rank,adp,ht_total
Shaedon Sharpe,POR,SG/SF,64,28.0,0.452,15.0,0.787,3.3,1.9,18.1,4.1,2.5,1.0,0.2,2.3,166,114.8,-1.14
Moussa Diabaté,CHA,PF/C,72,25.5,0.616,5.3,0.633,2.4,0.0,8.0,8.8,1.6,0.8,0.9,1.1,167,139.7,-1.14
Dru Smith,MIA,PG,72,20.1,0.430,5.6,0.824,1.7,0.8,7.0,3.0,2.9,1.7,0.4,1.0,168,140.0,-1.15
Yanic Konan Niederhauser,LAC,C,50,21.4,0.641,5.1,0.759,3.2,0.1,9.0,6.0,0.6,0.3,1.5,1.2,169,139.9,-1.17
Kelly Oubre Jr.,IND,SG/SF,64,28.2,0.468,10.0,0.759,2.6,1.2,12.6,4.8,1.5,1.3,0.4,1.2,170,137.5,-1.23
Max Christie,DAL,SG,75,30.5,0.435,9.3,0.878,2.1,2.1,11.9,3.6,2.1,0.8,0.4,1.3,171,,-1.26
Dillon Brooks,PHO,SG/SF,63,30.1,0.434,15.2,0.824,3.4,2.3,18.3,3.6,1.7,0.9,0.2,1.3,172,134.4,-1.27
Davion Mitchell,MIA,PG,73,30.1,0.480,7.6,0.670,1.1,1.3,9.4,2.7,6.2,1.1,0.2,1.8,173,139.6,-1.28
Ace Bailey,UTA,SF/PF,72,27.9,0.443,12.6,0.752,1.3,1.9,14.1,4.3,1.9,0.9,0.7,1.5,174,132.0,-1.29
Yaxel Lendeborg,GS,SF/PF,72,23.5,0.497,5.9,0.828,2.4,1.0,8.8,5.1,1.9,0.6,0.7,0.6,175,132.6,-1.31
Jay Huff,IND,C,74,17.1,0.490,6.4,0.815,1.1,1.4,8.6,3.2,1.1,0.4,1.5,0.8,176,139.9,-1.34
Scotty Pippen Jr.,MEM,PG/SG,50,20.4,0.475,7.5,0.720,2.1,1.1,9.7,3.1,4.3,1.3,0.4,1.8,177,138.4,-1.37
Nikola Vucevic,ORL,C,64,21.2,0.493,9.1,0.815,1.2,1.1,11.0,6.3,2.3,0.5,0.5,1.0,178,49.7,-1.37
De'Anthony Melton,GS,PG/SG,55,22.2,0.407,10.5,0.815,2.3,1.5,11.9,3.2,2.6,1.5,0.4,1.8,179,140.0,-1.38
Daniel Gafford,DAL,C,64,21.7,0.648,6.0,0.671,3.0,0.0,9.8,6.4,1.2,0.5,1.2,1.1,180,133.0,-1.43
Daniss Jenkins,DET,PG,72,26.1,0.406,10.3,0.821,2.9,1.3,12.1,3.0,5.0,1.1,0.3,2.1,181,140.0,-1.50
Anfernee Simons,PHI,PG/SG,67,25.7,0.431,12.6,0.901,1.9,2.6,15.1,2.3,3.3,0.6,0.1,1.5,182,108.2,-1.52
Naji Marshall,DAL,SF/PF,72,26.1,0.510,9.9,0.777,3.0,0.8,13.1,4.3,2.9,1.0,0.1,1.5,183,139.7,-1.54
Royce O'Neale,CHA,SF/PF,70,24.6,0.422,7.3,0.718,0.4,2.4,8.9,4.4,2.3,0.9,0.4,1.0,184,140.0,-1.54
Pelle Larsson,MIA,SG/SF,71,30.4,0.480,8.9,0.771,3.4,1.1,12.3,3.9,3.5,1.0,0.3,1.5,185,139.9,-1.56
Jerami Grant,MEM,PF,50,26.5,0.418,10.8,0.825,4.1,2.0,14.4,3.0,1.9,0.7,0.7,1.5,186,138.9,-1.57
Ryan Kalkbrenner,CHA,C,68,19.2,0.753,3.8,0.717,1.5,0.0,6.8,4.9,0.7,0.4,1.3,0.8,187,140.1,-1.58
Duncan Robinson,DET,SG/SF,76,28.4,0.447,10.0,0.800,1.2,3.0,12.9,2.7,2.5,0.6,0.2,1.0,188,140.0,-1.58
Luke Kornet,SA,C,68,20.0,0.657,4.0,0.765,1.5,0.0,6.4,5.8,1.8,0.5,1.0,0.4,189,139.8,-1.61
Jared McCain,OKC,PG/SG,72,27.8,0.438,12.1,0.870,1.8,2.4,14.6,3.1,2.4,0.8,0.1,1.5,190,133.7,-1.62
Alex Caruso,OKC,PG/SG,58,19.4,0.435,5.8,0.814,1.0,1.1,6.9,3.0,2.4,1.5,0.5,0.8,191,138.4,-1.65
Rui Hachimura,LAC,SF/PF,70,30.1,0.512,9.4,0.743,1.5,1.8,12.5,4.2,1.1,0.7,0.4,0.7,192,139.3,-1.66
Kris Dunn,LAC,PG/SG,72,24.5,0.457,5.6,0.734,0.6,1.0,6.6,3.2,3.1,1.6,0.3,1.1,193,140.1,-1.67
Sam Merrill,CLE,SG,65,25.4,0.436,8.4,0.889,0.9,2.7,10.8,2.7,2.2,0.8,0.2,0.7,194,140.1,-1.71
Mikel Brown Jr.,BKN,PG,69,28.8,0.418,9.5,0.845,4.3,1.9,13.5,2.5,3.5,0.9,0.1,2.3,195,139.5,-1.72
Darius Acuff Jr.,SAC,PG,72,29.1,0.454,10.9,0.804,3.8,1.6,14.5,1.9,5.0,0.6,0.2,1.4,196,135.6,-1.74
Derrick Jones Jr.,LAC,SF/PF,58,25.8,0.515,7.8,0.731,1.7,1.1,10.4,3.5,1.0,1.0,0.7,0.9,197,,-1.77
Maxime Raynaud,SAC,C,72,23.2,0.571,8.0,0.785,2.0,0.3,11.0,6.6,1.2,0.5,0.5,1.1,198,139.8,-1.81
Jordan Poole,NO,PG/SG,50,20.0,0.414,10.3,0.876,2.7,2.3,13.2,1.9,2.9,0.7,0.3,1.9,199,94.2,-1.92
Allen Graves,TOR,SF,70,22.0,0.481,6.2,0.747,2.3,0.8,8.5,4.7,1.3,1.1,0.7,0.5,200,140.0,-1.96
